DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
25-Feb-2026,IV,"89.89","91.08","89.75","89.69","90.35","90.19","90.21","98.19","74.96",1655237,"14,93,17,048.66",10964
24-Feb-2026,IV,"89.97","89.97","89.64","89.78","89.70","89.69","89.72","98.19","74.96",1722004,"15,44,98,317.03",8192
23-Feb-2026,IV,"90.08","90.08","89.73","89.84","89.80","89.78","89.82","98.19","74.96",2012002,"18,07,22,556.89",10361
20-Feb-2026,IV,"90.08","90.10","89.75","89.89","89.85","89.84","89.87","98.19","74.96",1000315,"8,98,96,204.60",7434
19-Feb-2026,IV,"89.95","90.08","89.75","89.93","89.90","89.89","89.92","98.19","74.96",1896344,"17,05,14,698.85",9402
18-Feb-2026,IV,"90.08","90.10","89.80","89.83","89.94","89.93","89.95","98.19","74.96",1431625,"12,87,68,934.06",8934
17-Feb-2026,IV,"90.19","90.19","89.70","89.95","89.84","89.83","89.93","98.19","74.96",1168380,"10,50,75,161.07",8130
16-Feb-2026,IV,"91.00","91.00","88.05","90.94","89.90","89.95","89.64","98.19","74.96",2435256,"21,82,87,654.78",15104
13-Feb-2026,IV,"91.03","91.35","90.70","91.63","90.89","90.94","91.01","98.19","74.96",1391298,"12,66,23,329.67",8901
12-Feb-2026,IV,"91.45","91.72","90.75","94.20","91.60","91.63","91.31","98.19","74.96",2592577,"23,67,28,311.76",11374
11-Feb-2026,IV,"94.50","94.55","93.80","94.08","94.21","94.20","94.12","98.19","74.96",2101598,"19,77,99,840.31",22431
10-Feb-2026,IV,"93.69","94.18","93.52","93.40","94.18","94.08","93.86","98.19","74.96",2094551,"19,65,96,907.43",8663
09-Feb-2026,IV,"93.64","93.75","93.00","93.27","93.45","93.40","93.33","98.19","74.96",1536914,"14,34,37,426.69",7866
06-Feb-2026,IV,"93.00","93.64","92.97","92.99","93.30","93.27","93.28","98.19","74.96",1293865,"12,06,94,948.26",5626
05-Feb-2026,IV,"93.14","93.50","92.80","92.97","93.00","92.99","93.06","98.19","74.96",873887,"8,13,21,293.90",6162
04-Feb-2026,IV,"92.80","93.49","92.25","92.44","93.00","92.97","92.82","98.19","74.96",1712583,"15,89,68,602.72",5209
03-Feb-2026,IV,"92.91","93.00","92.00","92.35","92.50","92.44","92.37","98.19","74.96",1092976,"10,09,62,659.17",6746
02-Feb-2026,IV,"91.99","93.40","88.95","91.67","92.30","92.35","91.98","98.19","74.96",1693641,"15,57,84,922.25",6106
01-Feb-2026,IV,"92.25","92.39","91.50","91.41","91.70","91.67","91.84","98.19","74.96",670177,"6,15,52,117.77",6039
30-Jan-2026,IV,"92.25","92.25","91.30","92.34","91.39","91.41","91.78","98.19","74.96",881112,"8,08,67,882.14",8069
29-Jan-2026,IV,"91.45","92.89","91.00","91.48","91.80","92.34","91.82","98.19","74.96",947174,"8,69,65,269.29",7178
28-Jan-2026,IV,"91.97","92.00","91.21","91.64","91.50","91.48","91.63","98.19","74.96",1088713,"9,97,62,535.59",7857
27-Jan-2026,IV,"92.28","92.28","91.25","91.70","91.85","91.64","91.74","98.19","74.96",1129510,"10,36,15,895.42",10213
23-Jan-2026,IV,"93.45","93.45","91.50","93.24","91.75","91.70","92.28","98.19","74.96",1551912,"14,32,05,900.72",9094
22-Jan-2026,IV,"92.33","93.50","91.91","91.86","93.30","93.24","92.75","98.19","74.96",2286255,"21,20,55,757.45",5020
21-Jan-2026,IV,"92.25","92.99","91.66","92.50","91.70","91.86","92.16","98.19","74.96",1464078,"13,49,35,298.18",8081
20-Jan-2026,IV,"93.00","93.38","92.40","92.91","92.65","92.50","92.66","98.19","74.96",1977592,"18,32,46,529.33",11661
19-Jan-2026,IV,"93.00","93.23","92.56","92.78","92.90","92.91","92.92","98.19","74.96",960236,"8,92,26,768.91",7759
16-Jan-2026,IV,"93.00","93.38","92.70","92.84","92.85","92.78","92.90","98.19","74.96",1262508,"11,72,89,015.74",7398
